Player_ID,Name,Age,Gender,Skill_Level,Preferred_Play_Time,Location,Win_Rate,Total_Matches_Played,Favorite_Court_Type,Preferred_Play_Style,Average_Match_Duration,Coach_Affiliation,Club_Membership,Rating_Score
17d959c9,Player_1,33,Female,Advanced,Morning,Madrid,71.4,292,Outdoor,Aggressive,49,No,Club C,2258
c81034e7,Player_2,41,Male,Professional,Afternoon,Madrid,72.34,73,Any,Aggressive,109,No,Club C,1150
9d8230db,Player_3,35,Female,Beginner,Evening,Riyadh,78.2,362,Any,Balanced,106,No,No Club,1438
64fd087e,Player_4,30,Female,Intermediate,Morning,Madrid,76.76,381,Indoor,Defensive,35,No,Club A,1382
d9217e7d,Player_5,29,Female,Professional,Morning,Riyadh,35.01,483,Any,Aggressive,118,No,Club C,1651
859d48db,Player_6,43,Female,Professional,Evening,Madrid,77.92,39,Any,Defensive,30,No,Club A,2130
66c44792,Player_7,18,Male,Intermediate,Evening,Beirut,40.94,186,Outdoor,Balanced,30,No,Club C,2212
4c81f9f0,Player_8,38,Female,Advanced,Morning,Dubai,73.67,27,Outdoor,Balanced,107,No,Club C,2359
9c3a9de2,Player_9,27,Male,Beginner,Morning,Madrid,42.07,36,Indoor,Aggressive,69,Yes,Club A,1274
7c2c694d,Player_10,55,Male,Intermediate,Morning,Cairo,75.99,323,Indoor,Defensive,70,Yes,No Club,1678
32296661,Player_11,48,Female,Advanced,Afternoon,Beirut,69.89,476,Indoor,Balanced,56,Yes,No Club,1870
10318726,Player_12,36,Male,Professional,Evening,London,37.56,375,Indoor,Aggressive,110,Yes,Club C,1542
1aa7f556,Player_13,43,Male,Beginner,Afternoon,Beirut,41.08,178,Any,Defensive,60,No,Club B,1504
400c1fea,Player_14,55,Female,Professional,Evening,Beirut,35.09,147,Any,Balanced,67,No,No Club,2248
247d45db,Player_15,35,Male,Intermediate,Afternoon,Riyadh,30.92,74,Outdoor,Defensive,36,No,Club A,2326
7558a762,Player_16,54,Male,Advanced,Morning,Madrid,49.41,139,Indoor,Defensive,116,No,Club A,1637
4759e6cc,Player_17,37,Female,Professional,Morning,Madrid,68.83,266,Any,Balanced,100,No,Club A,1552
77db13f8,Player_18,45,Male,Beginner,Evening,London,60.34,278,Any,Aggressive,55,No,Club A,1775
2e30ef72,Player_19,37,Male,Intermediate,Evening,Cairo,55.19,495,Indoor,Aggressive,87,No,No Club,1306
4d4eb6ed,Player_20,18,Male,Advanced,Evening,Dubai,45.43,242,Any,Defensive,86,Yes,No Club,1892
a53b6844,Player_21,32,Male,Professional,Afternoon,London,39.53,103,Any,Aggressive,78,Yes,Club C,1180
e45cd77a,Player_22,31,Male,Professional,Afternoon,Cairo,34.82,490,Outdoor,Balanced,115,Yes,No Club,2057
5252c42d,Player_23,54,Male,Beginner,Afternoon,Madrid,45.61,276,Any,Defensive,35,Yes,Club A,1723
06191786,Player_24,36,Male,Advanced,Afternoon,London,50.58,44,Any,Aggressive,70,No,Club A,1988
0618b51f,Player_25,44,Male,Advanced,Morning,Madrid,82.73,492,Any,Balanced,74,No,Club A,1505
185648ef,Player_26,29,Male,Professional,Afternoon,Riyadh,59.48,79,Indoor,Aggressive,81,Yes,Club A,1864
12ce4667,Player_27,35,Female,Advanced,Evening,Riyadh,30.53,454,Outdoor,Aggressive,82,Yes,Club C,1573
2dbc6e80,Player_28,18,Male,Advanced,Evening,Beirut,53.36,26,Indoor,Aggressive,33,Yes,Club C,2209
7525524d,Player_29,47,Male,Advanced,Evening,Cairo,61.09,402,Indoor,Balanced,119,Yes,Club C,2287
6003b681,Player_30,48,Female,Intermediate,Afternoon,Cairo,46.9,68,Any,Balanced,42,Yes,Club A,2326
4b347f92,Player_31,43,Female,Beginner,Morning,Madrid,85.39,477,Indoor,Balanced,97,Yes,Club A,1909
246c905f,Player_32,24,Male,Professional,Evening,Cairo,34.08,349,Any,Aggressive,73,No,Club C,1897
22bf6aa0,Player_33,24,Male,Professional,Evening,Dubai,79.32,123,Outdoor,Balanced,63,Yes,No Club,1213
2c57c705,Player_34,23,Male,Beginner,Morning,Madrid,73.43,256,Outdoor,Balanced,86,No,Club C,1935
ea69e52b,Player_35,54,Male,Professional,Evening,Beirut,40.97,352,Any,Defensive,59,No,Club A,1282
5dc2b40e,Player_36,41,Male,Advanced,Evening,Beirut,56.19,327,Indoor,Defensive,98,No,Club B,2257
c4c4c4e4,Player_37,33,Male,Beginner,Morning,Riyadh,84.84,228,Outdoor,Defensive,36,Yes,Club C,1544
d7f1d474,Player_38,37,Male,Professional,Evening,Riyadh,78.98,246,Indoor,Defensive,64,Yes,Club B,1842
097cf57e,Player_39,52,Female,Professional,Morning,London,86.6,39,Outdoor,Aggressive,67,Yes,Club C,1798
f2839652,Player_40,25,Male,Advanced,Evening,Dubai,47.92,189,Outdoor,Defensive,117,Yes,Club C,2435
e57f8945,Player_41,35,Female,Beginner,Morning,Cairo,68.79,435,Outdoor,Aggressive,93,No,Club C,1051
08a29cba,Player_42,18,Male,Advanced,Afternoon,Cairo,86.07,382,Any,Defensive,112,No,Club C,1668
1696713f,Player_43,22,Female,Beginner,Morning,Madrid,49.84,108,Any,Balanced,56,Yes,Club C,1478
60464f5a,Player_44,47,Female,Intermediate,Afternoon,Riyadh,36.48,146,Indoor,Defensive,89,No,No Club,1535
16e138e8,Player_45,35,Female,Advanced,Morning,Beirut,88.62,408,Indoor,Aggressive,104,No,Club A,1297
a33fff3f,Player_46,40,Female,Intermediate,Evening,Beirut,71.92,33,Outdoor,Defensive,94,Yes,Club B,2423
64c66de7,Player_47,49,Male,Beginner,Afternoon,Beirut,30.47,25,Outdoor,Balanced,74,Yes,Club C,1112
94aa97a8,Player_48,53,Male,Intermediate,Evening,Beirut,72.12,395,Any,Balanced,55,No,Club A,2443
b9a98487,Player_49,51,Female,Beginner,Evening,Cairo,57.93,47,Indoor,Aggressive,50,Yes,Club A,2315
afdd659e,Player_50,29,Male,Advanced,Evening,Cairo,44.68,63,Outdoor,Aggressive,106,Yes,No Club,1367
