Age,Gender,Skill_Level,Play_Time,Location,Win_Rate,Total_Matches_Played,Favorite_Court_Type,Average_Match_Duration,Coach_Affiliation,Rating_Score
22,Male,Advanced,Morning,United States,80,194,Outdoor,67,Yes,2081
55,Male,Beginner,Evening,Sweden,51,228,Indoor,113,Yes,1506
43,Male,Professional,Afternoon,United Arab Emirates,89,189,Any,70,Yes,1558
20,Female,Beginner,Afternoon,United Kingdom,50,447,Indoor,34,Yes,1102
25,Male,Intermediate,Afternoon,Chile,64,352,Any,71,No,1088
37,Female,Beginner,Morning,United Kingdom,31,489,Outdoor,84,No,1058
48,Male,Advanced,Afternoon,United Kingdom,53,311,Any,77,No,2144
29,Female,Intermediate,Afternoon,Italy,63,189,Outdoor,46,No,1043
42,Male,Professional,Morning,Portugal,83,147,Outdoor,55,No,2475
23,Male,Professional,Morning,Mexico,31,477,Any,56,Yes,1466
20,Male,Beginner,Evening,Germany,32,124,Indoor,84,Yes,2025
50,Male,Professional,Morning,United Arab Emirates,88,283,Any,94,Yes,1536
40,Male,Advanced,Evening,United Arab Emirates,44,52,Indoor,93,Yes,1185
33,Male,Professional,Evening,Mexico,80,91,Any,48,Yes,1511
25,Male,Beginner,Evening,Sweden,35,171,Outdoor,86,No,2272
50,Male,Advanced,Morning,Brazil,66,453,Indoor,113,Yes,2129
27,Male,Advanced,Morning,Belgium,61,91,Any,52,Yes,2248
41,Male,Intermediate,Afternoon,United Kingdom,40,70,Outdoor,114,Yes,1553
38,Male,Professional,Afternoon,Netherlands,57,357,Indoor,30,Yes,1709
29,Male,Intermediate,Afternoon,United States,90,100,Indoor,84,No,1884
25,Female,Intermediate,Morning,Argentina,78,69,Any,94,No,1779
25,Male,Beginner,Morning,Lebanon,34,104,Any,117,Yes,1216
32,Female,Advanced,Morning,Finland,65,299,Outdoor,93,Yes,1715
24,Female,Advanced,Morning,United Arab Emirates,64,35,Any,32,No,1388
22,Male,Beginner,Morning,Brazil,35,390,Any,88,Yes,1274
47,Male,Beginner,Afternoon,Chile,64,375,Any,65,No,1938
41,Male,Advanced,Evening,Germany,71,230,Any,53,Yes,1051
35,Female,Professional,Morning,Germany,33,285,Outdoor,37,No,2397
19,Male,Professional,Afternoon,United Kingdom,38,444,Outdoor,75,No,2144
47,Male,Professional,Morning,Portugal,84,149,Outdoor,32,No,1474
18,Male,Beginner,Morning,Lebanon,87,425,Any,34,Yes,2064
35,Female,Professional,Afternoon,Portugal,53,334,Indoor,63,Yes,1877
